155.210.154.194:1756118:47:53.543174 raft.go:161: logger initialized
155.210.154.194:1756118:47:53.543300 raft.go:88: Réplica 0: comienza la ejecución
155.210.154.194:1756118:48:03.760929 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.812964 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.865251 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.917538 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:03.969520 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.021289 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.073678 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.125909 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.178075 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.230322 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.282530 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.334673 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.386596 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.438573 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.490859 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.543030 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.594950 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.647341 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.699738 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.751924 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.803954 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.856219 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.908468 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:04.960812 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:05.012588 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:05.064883 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:05.117290 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:05.169699 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:05.221883 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:05.274072 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:05.326056 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:05.378311 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:05.430569 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:05.482466 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:05.534703 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:05.586872 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:05.638805 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:05.690920 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
155.210.154.194:1756118:48:05.743026 raftAppendEntries.go:51: Réplica 0: 0 entrada(s) de log recibidas de 2
